STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/7/18,0,0,0,73,52
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/8/18,0,0,0,67,50
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/9/18,0,0,0,63,49
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/10/18,0.01,0,0,62,53
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/11/18,0,0,0,74,58
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/12/18,0.25,0,0,65,52
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/13/18,0.16,0,0,54,51
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/14/18,0.12,0,0,64,51
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/15/18,0.44,0,0,76,56
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/16/18,0.33,0,0,65,56
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/17/18,0.72,0,0,67,55
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/18/18,0,0,0,64,55
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/19/18,0.75,0,0,57,50
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/20/18,0,0,0,83,57
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/21/18,0,0,0,73,57
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/22/18,0.17,0,0,65,56
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/23/18,0.2,0,0,82,57
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/24/18,0,0,0,82,61
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/25/18,0,0,0,82,60
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/26/18,0,0,0,81,67
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/27/18,0.89,0,0,71,55
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/28/18,0,0,0,63,54
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/29/18,0,0,0,79,60
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/30/18,0,0,0,69,57
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",5/31/18,0.03,0,0,67,60
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/1/18,1.18,0,0,75,63
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/2/18,0,0,0,86,64
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/3/18,0.11,0,0,64,51
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/4/18,0.61,0,0,71,51
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",6/5/18,0,0,0,76,53
